wikidata_id,title,description,bucket,enwiki_title,country,relevance_start,relevance_end,pageviews_365d,points
Q4831547,Ayo Saka,footballer | bucket: human,human,Ayo Saka,Nigeria,1992-05-18,,0,4
Q4833075,Azumazeki Stable,Stable of sumo wrestlers (1986–2021) | bucket: sports_team,sports_team,Azumazeki stable,Japan,,,0,4
Q154118,BMW Sauber,Formula 1 team | bucket: sports_team,sports_team,BMW Sauber,,,,0,4
Q871146,Baby Princess,Japanese light novel series | bucket: film,film,Baby Princess,,2011-01-01,2011-01-01,0,4
Q6414679,Bad Boys,1993 manga series by Hiroshi Tanaka | bucket: film,film,Bad Boys (manga),Japan,1993-01-01,1993-01-01,0,4
Q27943305,Bad Things,2016 single by Machine Gun Kelly and Camila Cabello | bucket: musical_work,musical_work,Bad Things (Machine Gun Kelly and Camila Cabello song),United States,2016-01-01,2016-01-01,0,4
Q4849783,Balador,bucket: fictional_character,fictional_character,Balador,,,,0,4
Q12473898,Bambang Susantono,1st Head of Nusantara Capital City Authority (2022—2024) and 5th Deputy Minister of Transportation of Indonesia (2009—2014) | bucket: human,human,Bambang Susantono,Indonesia,1963-11-04,,0,4
Q208048,Band of Brothers,TV mini-series | bucket: tv_series,tv_series,Band of Brothers (miniseries),United States,2001-09-09,2001-11-04,0,4
Q91917,Baoh,manga | bucket: film,film,Baoh,Japan,,,0,4
Q721230,Bardiani CSF 7 Saber,Italian cycling team | bucket: sports_team,sports_team,Bardiani–CSF 7 Saber,Ireland; Italy,1982-01-01,,0,4
Q4861076,Barkley 2,unfinished video game project | bucket: video_game,video_game,Barkley 2,United States,,,0,4
Q790559,Barloworld,cycling team | bucket: sports_team,sports_team,Barloworld (cycling team),United Kingdom; South Africa,2003-01-01,2009-01-01,0,4
Q3315600,Barrier Reef,television series | bucket: tv_series,tv_series,Barrier Reef (TV series),Japan; Australia,1971-02-12,1972-05-02,0,4
Q20938,Bass Cannon,song by Flux Pavilion | bucket: musical_work,musical_work,Bass Cannon,,2011-03-19,2011-03-19,0,4
Q4868454,BatMUD,1990 video game | bucket: video_game,video_game,BatMUD,Finland,1990-01-01,1990-01-01,0,4
Q4875197,Bazim-Gorag,bucket: fictional_character,fictional_character,Bazim-Gorag,,,,0,4
Q494,Beakman's World,educational children's television show | bucket: tv_series,tv_series,Beakman's World,United States,1992-09-16,1998-08-01,0,4
Q717890,Beautiful Life,Japanese TV series | bucket: tv_series,tv_series,Beautiful Life (Japanese TV series),Japan,2000-01-16,2000-03-26,0,4
Q901021,Beautiful Rain,Japanese television series | bucket: tv_series,tv_series,Beautiful Rain,Japan,2012-07-01,,0,4
Q73268,Beauty and the Beast,2012 television series | bucket: tv_series,tv_series,Beauty & the Beast (2012 TV series),United States,2012-10-11,2016-09-15,0,4
Q4880768,Beherit,Dungeons & Dragons character | bucket: fictional_character,fictional_character,Beherit (Dungeons & Dragons),,,,0,4
Q251787,Bei Mir Bistu Shein,song | bucket: musical_work,musical_work,Bei Mir Bistu Shein,France,1932-01-01,1932-01-01,0,4
Q4884731,Beltar,fictional deity from Dungeons & Dragons | bucket: fictional_character,fictional_character,Beltar (Dungeons & Dragons),,,,0,4
Q327985,Ben Hur,2010 television miniseries | bucket: tv_series,tv_series,Ben Hur (miniseries),Canada; United Kingdom; Germany,2010-01-01,2011-06-10,0,4
Q4885171,Ben-hadar,bucket: fictional_character,fictional_character,Ben-hadar,,,,0,4
Q171329,Benetton Formula,auto racing team in Italy & Great Britain | bucket: sports_team,sports_team,Benetton Formula,Italy,,,0,4
Q4891213,Berei,fictional deity from Dungeons & Dragons | bucket: fictional_character,fictional_character,Berei,,,,0,4
Q188931,Bes,Egyptian deity | bucket: fictional_character,fictional_character,Bes,,,,0,4
Q4896964,Best of Microsoft Entertainment Pack,game compilation | bucket: video_game,video_game,Best of Microsoft Entertainment Pack,,1995-01-01,1995-01-01,0,4
Q2899998,Best of Times,1981 television film by Don Mischer | bucket: film,film,The Best of Times (1981 film),United States,1981-01-01,1981-01-01,0,4
Q64867091,Beverley Shore Bennett,New Zealand artist (1928–2024) | bucket: human,human,Beverley Shore Bennett,New Zealand,1928-01-01,2024-09-03,0,4
Q4900182,Beyond the Red Line,unfinished FreeSpace 2 total conversion mod | bucket: video_game,video_game,Beyond the Red Line,,2007-03-31,2007-03-31,0,4
Q4904751,Biffant,bucket: fictional_character,fictional_character,Biffant,,,,0,4
Q12521,Big Brother,Finnish version of the Big Brother television series | bucket: tv_series,tv_series,Big Brother (Finnish TV series),Finland,2005-08-28,2014-11-14,0,4
Q21137,Big City Life,song by Mattafix | bucket: musical_work,musical_work,Big City Life,,2005-08-08,2005-08-08,0,4
Q60195411,Bimal Thapa,Bhutanese politician | bucket: human,human,Bimal Thapa,Bhutan,1986-01-01,,0,4
Q4918673,Bit.Trip Saga,compilation of six downloadable video games | bucket: video_game,video_game,Bit.Trip Saga,United States,2011-09-13,2011-09-13,0,4
Q49019,Blackadder,"British television comedy series, 1983–89 | bucket: tv_series",tv_series,Blackadder,United Kingdom,1983-06-15,1989-11-02,0,4
Q19981,Bleed It Out,2007 single by Linkin Park | bucket: musical_work,musical_work,Bleed It Out,United States,2007-08-14,2007-08-14,0,4
Q4926169,Bleredd,bucket: fictional_character,fictional_character,Bleredd,,,,0,4
Q885903,Blue Submarine No. 6,OVA and manga series | bucket: film,film,Blue Submarine No. 6,Japan,,,0,4
Q886105,Blue's Clues,American interactive educational children's television series | bucket: film,film,Blue's Clues,United States,1996-09-08,2006-08-06,0,4
Q875971,Boku dake no Madonna,Japanese TV series or program | bucket: tv_series,tv_series,Boku dake no Madonna,Japan,2003-07-07,2003-09-15,0,4
Q3585977,Boku no Ikiru Michi,Japanese TV series or program | bucket: tv_series,tv_series,Boku no Ikiru Michi,Japan,2003-01-07,2003-03-18,0,4
Q539041,Boku no Pico,2006 series of adult shotacon anime OVAs | bucket: film,film,Boku no Pico,Japan,2006-01-01,2006-01-01,0,4
Q891232,Boku wa Imōto ni Koi o Suru,Japanese manga series | bucket: film,film,Boku wa Imōto ni Koi o Suru,Japan,2007-01-01,2007-01-01,0,4
Q2678613,Bolesław I of Masovia,Polish noble | bucket: human,human,Bolesław I of Masovia,,1208-01-01,1248-01-01,0,4
Q171760,Boro,Dutch Formula One constructor | bucket: sports_team,sports_team,Boro (Formula One),Netherlands,,,0,4
Q21100,Both of Us,2012 song by B.o.B ft. Taylor Swift | bucket: musical_work,musical_work,Both of Us,United States,2012-05-22,2012-05-22,0,4
Q4956060,Bralm,fictional deity from Dungeons & Dragons | bucket: fictional_character,fictional_character,Bralm,,,,0,4
Q17596,Brawn GP,Formula One motor racing team | bucket: sports_team,sports_team,Brawn GP,United Kingdom,2009-01-01,2009-01-01,0,4
Q265696,Breakin'... There's No Stopping Us,single | bucket: musical_work,musical_work,Breakin'... There's No Stopping Us,,1984-06-21,1984-06-21,0,4
Q1079,Breaking Bad,American crime drama television series (2008–2013) | bucket: tv_series,tv_series,Breaking Bad,United States,2008-01-20,2013-09-29,0,4
Q19978,Breaking the Habit,2004 single by Linkin Park | bucket: musical_work,musical_work,Breaking the Habit (song),United States,2004-06-14,2004-06-14,0,4
Q171320,British American Racing,Formula One motor racing team | bucket: sports_team,sports_team,British American Racing,United Kingdom,,,0,4
Q172148,British Racing Partnership,British motor racing team and constructor | bucket: sports_team,sports_team,British Racing Partnership,United Kingdom,,,0,4
Q2082930,Brother Beat,Japanese television series | bucket: tv_series,tv_series,Brother Beat,Japan,2005-10-13,2005-12-22,0,4
Q997465,Bubblegum Crisis,1987 cyberpunk original video animation series | bucket: film,film,Bubblegum Crisis,Japan,1987-02-25,1992-04-02,0,4
Q1093612,Bull Doctor,TV series | bucket: tv_series,tv_series,Bull Doctor,Japan,2011-07-06,2011-09-14,0,4
Q19991,Burn It Down,2012 single by Linkin Park | bucket: musical_work,musical_work,Burn It Down (Linkin Park song),United States,2012-04-16,2012-04-16,0,4
Q2543155,Burn Up!,1991 original video animation | bucket: film,film,Burn Up!,Japan,1991-01-01,1991-01-01,0,4
Q19989,Burning in the Skies,single by Linkin Park | bucket: musical_work,musical_work,Burning in the Skies,United States,2010-03-21,2010-03-21,0,4
Q5003684,Bwimb,bucket: fictional_character,fictional_character,Bwimb,,,,0,4
Q787401,CCC Team,Polish cycling team | bucket: sports_team,sports_team,CCC Pro Team,United States; Poland,2007-01-01,2020-01-01,0,4
Q6399654,CR Gokujō Parodius!,pachinko series | bucket: video_game,video_game,CR Gokujō Parodius!,,,,0,4
Q5737484,CR Parodius Da!,pachinko series | bucket: video_game,video_game,CR Parodius Da!,,,,0,4
Q857251,Caja Rural-Seguros RGA,road cycling team | bucket: sports_team,sports_team,Caja Rural–Seguros RGA,Spain,2010-01-01,,0,4
Q112325384,Call to Arms - Gates of Hell: Ostfront,2021 DLC of Call to Arms | bucket: video_game,video_game,Gates of Hell: Ostfront,,2021-06-11,2021-06-11,0,4
Q266214,Calling All Girls,original song written and composed by Roger Taylor | bucket: musical_work,musical_work,Calling All Girls,,1982-01-01,1982-01-01,0,4
Q5024016,Caltron 6 in 1,6-game multicart for NES | bucket: video_game,video_game,Caltron 6 in 1,,,,0,4
Q115255660,Cam' Ye by Atholl,Scottish folk song | bucket: musical_work,musical_work,Cam' Ye by Atholl,,,,0,4
Q3283357,Campus Special Investigator Hikaruon,original video animation | bucket: film,film,Campus Special Investigator Hikaruon,Japan,,,0,4
Q3816219,Cancion mixteca,Oaxacan song | bucket: musical_work,musical_work,Canción mixteca,Mexico,1915-01-01,,0,4
Q2671293,Candraprabha,bodhisattva or deva of the Lunar Palace | bucket: fictional_character,fictional_character,Candraprabha,,,,0,4
Q3655778,Cantiga da Garvaia,cantiga de amigo (song of love - form of medieval lyric poetry) | bucket: musical_work,musical_work,Cantiga da Ribeirinha,,,,0,4
Q426630,Capcom Classics Collection,2005 video game compilation | bucket: video_game,video_game,Capcom Classics Collection,United States,2005-01-01,2005-01-01,0,4
Q5034542,Capcom Digital Collection,video game | bucket: video_game,video_game,Capcom Digital Collection,,2012-03-27,2012-03-27,0,4
Q5034544,Capcom Puzzle World,video game compilation | bucket: video_game,video_game,Capcom Puzzle World,United States,2007-02-06,2007-02-06,0,4
Q312264,Captain Beefheart,American musician and painter (1941-2010) | bucket: human,human,Captain Beefheart,United States,1941-01-15,2010-12-17,0,4
Q53848199,Carl Barrington Greenidge,politician | bucket: human,human,Carl Barrington Greenidge,Guyana,1949-03-03,,0,4
Q5043532,Carmen Ohio,The Ohio State University school song | bucket: musical_work,musical_work,Carmen Ohio,United States,,,0,4
Q442540,Caroline Gennez,Flemish politician | bucket: human,human,Caroline Gennez,Belgium,1975-08-21,,0,4
Q117718135,Carter Efe,Nigerian singer & comedian | bucket: human,human,Carter Efe,Nigeria,2001-09-29,,0,4
Q5049317,Cassette 50,1983 video game compilation | bucket: video_game,video_game,Cassette 50,United Kingdom,1983-01-01,1986-01-01,0,4
Q2629677,Cat Soup,2001 film by Tatsuo Satō | bucket: film,film,Cat Soup,Japan,2001-02-21,2003-09-09,0,4
Q188926,Catherine Howard,fifth wife of Henry VIII of England | bucket: human,human,Catherine Howard,Kingdom of England,1523-01-01,1542-02-23,0,4
Q123112,Celia von Bismarck,Swiss celebrity (1971-2010) | bucket: human,human,Celia von Bismarck,Switzerland,1971-10-19,2010-12-17,0,4
Q970784,Ceramica Flaminia,Italian cycling team | bucket: sports_team,sports_team,Ceramica Flaminia,Italy,2005-01-01,2010-01-01,0,4
Q32102,Ceres,Roman goddess of agriculture | bucket: fictional_character,fictional_character,Ceres (mythology),,,,0,4
Q427006,Cervélo Test,cycling team (2009-2010) | bucket: sports_team,sports_team,Cervélo TestTeam,Switzerland,2009-01-01,2010-01-01,0,4
Q611425,Champion System,cycling team (2010-2013) | bucket: sports_team,sports_team,Champion System,People's Republic of China; Armenia,2010-01-01,2013-01-01,0,4
Q21144,Changed the Way You Kiss Me,song by Example | bucket: musical_work,musical_work,Changed the Way You Kiss Me,,2011-06-05,2011-06-05,0,4
Q312581,Charles Edward Stuart,"Jacobite pretender to the thrones of England, Scotland, Ireland, and France; (1720-1788) | bucket: human",human,Charles Edward Stuart,Kingdom of Great Britain,1720-12-31,1788-01-31,0,4
Q239202,Chrissie Hynde,"American rock musician, founder of The Pretenders | bucket: human",human,Chrissie Hynde,United States; United Kingdom,1951-09-07,,0,4
Q271715,Christopher Chope,British politician (born 1947) | bucket: human,human,Christopher Chope,United Kingdom,1947-05-19,,0,4
Q2293,Chuck,American television series | bucket: tv_series,tv_series,Chuck (TV series),United States,2007-09-24,2012-01-27,0,4
Q5121380,CircleMUD,video game | bucket: video_game,video_game,CircleMUD,,,,0,4
Q110903900,City Lament,poetic elegy for a lost or fallen city | bucket: musical_work,musical_work,City Lament,,,,0,4
Q2902020,City Of,episode of Angel (S1 E1) | bucket: film,film,City Of,,1999-10-05,1999-10-05,0,4
Q5128226,Classic Text Adventure Masterpieces of Infocom,collection of 33 computer games | bucket: video_game,video_game,Classic Text Adventure Masterpieces of Infocom,United States,1996-01-01,1996-01-01,0,4
Q85060837,Claudius Herr,Austrian painter (1775–1838) | bucket: human,human,Claudius Herr,Austria,1775-01-01,1838-01-01,0,4
Q900288,Cofidis,men cycling team | bucket: sports_team,sports_team,Cofidis (cycling team),France,1996-01-01,,0,4
Q129679,"Colin Moynihan, 4th Baron Moynihan",British politician and rower (born 1955) | bucket: human,human,"Colin Moynihan, 4th Baron Moynihan",United Kingdom,1955-09-13,,0,4
Q678284,Colombia-Coldeportes,cycling team | bucket: sports_team,sports_team,Colombia (cycling team),Colombia,2012-01-01,2015-01-01,0,4
Q5150983,Combustible Campus Guardress,original video animation | bucket: film,film,Combustible Campus Guardress,Japan,,,0,4
Q2618195,Command & Conquer: The First Decade,2006 video game compilation | bucket: video_game,video_game,Command & Conquer: The First Decade,United States,2006-02-07,2006-02-07,0,4
Q121141082,Command & Conquer: Ultimate Collection,2012 video game compilation | bucket: video_game,video_game,Command & Conquer: The Ultimate Collection,,,,0,4
Q1129655,Cool Devices,1995 original video animation | bucket: film,film,Cool Devices,Japan,1995-01-01,1995-01-01,0,4
Q173003,Cooper Car Company,auto racing team | bucket: sports_team,sports_team,Cooper Car Company,United Kingdom,,,0,4
Q5174071,Cosmic Fantasy,original video animation | bucket: film,film,Cosmic Fantasy,Japan,,,0,4
Q21095,Crack a Bottle,"song by Eminem, Dr. Dre and 50 Cent | bucket: musical_work",musical_work,Crack a Bottle,United States,2009-02-02,2009-02-02,0,4
Q264636,Craig Whittaker,British politician (born 1962) | bucket: human,human,Craig Whittaker,United Kingdom,1962-08-30,,0,4
Q581136,Crelan-Euphony,Belgian cycling team | bucket: sports_team,sports_team,Landbouwkrediet–Colnago,Belgium,1989-01-01,2013-01-01,0,4
Q288241,Crispus Attucks,"African American/Native American, first victim of the Boston Massacre | bucket: human",human,Crispus Attucks,Kingdom of Great Britain,1723-01-01,1770-03-05,0,4
